original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,degree,label
Stable and radioactive isotope studies provide insight into what,Stable and radioactive isotope identify no I mean studies provide insight into what,"['Stable', 'and', 'radioactive', 'isotope', 'identify', 'no', 'I', 'mean', 'studies', 'provide', 'insight', 'into', 'what']","['Stable', 'and', 'radioactive', 'isotope', 'studies', 'provide', 'insight', 'into', 'what']",In what year Stable and radioactive isotope studies provide insight into what,"['Stable', 'and', 'radioactive', 'isotope', 'studies', 'provide', 'insight', 'into', 'what']","['In', 'what', 'year', 'Stable', 'and', 'radioactive', 'isotope', 'studies', 'provide', 'insight', 'into', 'what']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Where does two thirds of the Rhine flow outside of Gany,How much  never mind where does two thirds of the Rhine flow outside of Gany,"['How', 'much', 'never', 'mind', 'where', 'does', 'two', 'thirds', 'of', 'the', 'Rhine', 'flow', 'outside', 'of', 'Gany']","['Where', 'does', 'two', 'thirds', 'of', 'the', 'Rhine', 'flow', 'outside', 'of', 'Gany']",Theres a ro border Where does two thirds of the Rhine flow outside of Gany,"['Where', 'does', 'two', 'thirds', 'of', 'the', 'Rhine', 'flow', 'outside', 'of', 'Gany']","['Theres', 'a', 'ro', 'border', 'Where', 'does', 'two', 'thirds', 'of', 'the', 'Rhine', 'flow', 'outside', 'of', 'Gany']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What type of government investigations apply to civil disobedience,When does or actually what type of government investigations apply to civil disobedience,"['When', 'does', 'or', 'actually', 'what', 'type', 'of', 'government', 'investigations', 'apply', 'to', 'civil', 'disobedience']","['What', 'type', 'of', 'government', 'investigations', 'apply', 'to', 'civil', 'disobedience']",Particle physics has What type of government investigations apply to civil disobedience,"['What', 'type', 'of', 'government', 'investigations', 'apply', 'to', 'civil', 'disobedience']","['Particle', 'physics', 'has', 'What', 'type', 'of', 'government', 'investigations', 'apply', 'to', 'civil', 'disobedience']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Unreserved matters are subjects who are where,Unreserved matters are subjects that are outside no I mean who are where,"['Unreserved', 'matters', 'are', 'subjects', 'that', 'are', 'outside', 'no', 'I', 'mean', 'who', 'are', 'where']","['Unreserved', 'matters', 'are', 'subjects', 'who', 'are', 'where']",What type of outlook do some of Unreserved matters are subjects who are where,"['Unreserved', 'matters', 'are', 'subjects', 'who', 'are', 'where']","['What', 'type', 'of', 'outlook', 'do', 'some', 'of', 'Unreserved', 'matters', 'are', 'subjects', 'who', 'are', 'where']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How are Air force messages delivered ,VALUE,['VALUE'],"['How', 'are', 'Air', 'force', 'messages', 'delivered']",What took place during the How are Air force messages delivered,"['How', 'are', 'Air', 'force', 'messages', 'delivered']","['What', 'took', 'place', 'during', 'the', 'How', 'are', 'Air', 'force', 'messages', 'delivered']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What contributed to the increased inequality between trained and untrained workers,What impact um what contributed to the increased inequality between trained and untrained workers,"['What', 'impact', 'um', 'what', 'contributed', 'to', 'the', 'increased', 'inequality', 'between', 'trained', 'and', 'untrained', 'workers']","['What', 'contributed', 'to', 'the', 'increased', 'inequality', 'between', 'trained', 'and', 'untrained', 'workers']",How are What contributed to the increased inequality between trained and untrained workers,"['What', 'contributed', 'to', 'the', 'increased', 'inequality', 'between', 'trained', 'and', 'untrained', 'workers']","['How', 'are', 'What', 'contributed', 'to', 'the', 'increased', 'inequality', 'between', 'trained', 'and', 'untrained', 'workers']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How many werent in Langlades expedition,How many werent in Marquis de la Jonquiu00e8re  ratheru007f Langlades expedition,"['How', 'many', 'werent', 'in', 'Marquis', 'de', 'la', 'Jonquiu00e8re', 'ratheru007f', 'Langlades', 'expedition']","['How', 'many', 'werent', 'in', 'Langlades', 'expedition']",Who noted the different current How many werent in Langlades expedition,"['How', 'many', 'werent', 'in', 'Langlades', 'expedition']","['Who', 'noted', 'the', 'different', 'current', 'How', 'many', 'werent', 'in', 'Langlades', 'expedition']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is the protocol suite,Where was the packet switching what is the protocol suite really,"['Where', 'was', 'the', 'packet', 'switching', 'what', 'is', 'the', 'protocol', 'suite', 'really']","['What', 'is', 'the', 'protocol', 'suite']",A molecular What is the protocol suite,"['What', 'is', 'the', 'protocol', 'suite']","['A', 'molecular', 'What', 'is', 'the', 'protocol', 'suite']","['D', 'D', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When electrons are loosely packed there is not eno what,When the electromagnetic force no an electrons are loosely packed there is not eno what,"['When', 'the', 'electromagnetic', 'force', 'no', 'an', 'electrons', 'are', 'loosely', 'packed', 'there', 'is', 'not', 'eno', 'what']","['When', 'electrons', 'are', 'loosely', 'packed', 'there', 'is', 'not', 'eno', 'what']",How did the Tran When electrons are loosely packed there is not eno what,"['When', 'electrons', 'are', 'loosely', 'packed', 'there', 'is', 'not', 'eno', 'what']","['How', 'did', 'the', 'Tran', 'When', 'electrons', 'are', 'loosely', 'packed', 'there', 'is', 'not', 'eno', 'what']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
By what method did Maududi not want to change the hearts and minds of individuals,By what principle oh  method did Maududi not want to change the hearts and minds of individuals,"['By', 'what', 'principle', 'oh', 'method', 'did', 'Maududi', 'not', 'want', 'to', 'change', 'the', 'hearts', 'and', 'minds', 'of', 'individuals']","['By', 'what', 'method', 'did', 'Maududi', 'not', 'want', 'to', 'change', 'the', 'hearts', 'and', 'minds', 'of', 'individuals']",What were the reasons why residents moved By what method did Maududi not want to change the hearts and minds of individuals,"['By', 'what', 'method', 'did', 'Maududi', 'not', 'want', 'to', 'change', 'the', 'hearts', 'and', 'minds', 'of', 'individuals']","['What', 'were', 'the', 'reasons', 'why', 'residents', 'moved', 'By', 'what', 'method', 'did', 'Maududi', 'not', 'want', 'to', 'change', 'the', 'hearts', 'and', 'minds', 'of', 'individuals']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What cannot be used to find the age of pluton emplacement,What type of  lets go with what cannot be used to find the age of pluton emplacement,"['What', 'type', 'of', 'lets', 'go', 'with', 'what', 'cannot', 'be', 'used', 'to', 'find', 'the', 'age', 'of', 'pluton', 'emplacement']","['What', 'cannot', 'be', 'used', 'to', 'find', 'the', 'age', 'of', 'pluton', 'emplacement']",On what lake did troops defend What can not be used to find the age of pluton emplacement,"['What', 'can', 'not', 'be', 'used', 'to', 'find', 'the', 'age', 'of', 'pluton', 'emplacement']","['On', 'what', 'lake', 'did', 'troops', 'defend', 'What', 'can', 'not', 'be', 'used', 'to', 'find', 'the', 'age', 'of', 'pluton', 'emplacement']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
There is much net force when what is taken into consideration,There is much net force that start sorry when what is taken into consideration,"['There', 'is', 'much', 'net', 'force', 'that', 'start', 'sorry', 'when', 'what', 'is', 'taken', 'into', 'consideration']","['There', 'is', 'much', 'net', 'force', 'when', 'what', 'is', 'taken', 'into', 'consideration']",What dont supporters of There is much net force when what is taken into consideration,"['There', 'is', 'much', 'net', 'force', 'when', 'what', 'is', 'taken', 'into', 'consideration']","['What', 'dont', 'supporters', 'of', 'There', 'is', 'much', 'net', 'force', 'when', 'what', 'is', 'taken', 'into', 'consideration']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When did Khan formally declare the Yuan dynasty,When did Da Yuan no actually it was Khan when did he formally declare the Yuan dynasty,"['When', 'did', 'Da', 'Yuan', 'no', 'actually', 'it', 'was', 'Khan', 'when', 'did', 'he', 'formally', 'declare', 'the', 'Yuan', 'dynasty']","['When', 'did', 'Khan', 'formally', 'declare', 'the', 'Yuan', 'dynasty']",What can help a student When did Khan formally declare the Yuan dynasty,"['When', 'did', 'Khan', 'formally', 'declare', 'the', 'Yuan', 'dynasty']","['What', 'can', 'help', 'a', 'student', 'When', 'did', 'Khan', 'formally', 'declare', 'the', 'Yuan', 'dynasty']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What have Blocs sidewalks and sanitation facilities done,Why has um let me ask what have Blocs sidewalks and sanitation facilities done,"['Why', 'has', 'um', 'let', 'me', 'ask', 'what', 'have', 'Blocs', 'sidewalks', 'and', 'sanitation', 'facilities', 'done']","['What', 'have', 'Blocs', 'sidewalks', 'and', 'sanitation', 'facilities', 'done']",When was What have Blocs sidewalks and sanitation facilities done,"['What', 'have', 'Blocs', 'sidewalks', 'and', 'sanitation', 'facilities', 'done']","['When', 'was', 'What', 'have', 'Blocs', 'sidewalks', 'and', 'sanitation', 'facilities', 'done']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What territory was ceded to Britain,What islands  rather territory was ceded to Britain,"['What', 'islands', 'rather', 'territory', 'was', 'ceded', 'to', 'Britain']","['What', 'territory', 'was', 'ceded', 'to', 'Britain']",When rock folds deep in the Earth it can What territory was ceded to Britain,"['What', 'territory', 'was', 'ceded', 'to', 'Britain']","['When', 'rock', 'folds', 'deep', 'in', 'the', 'Earth', 'it', 'can', 'What', 'territory', 'was', 'ceded', 'to', 'Britain']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Net mechanical energy is what in an open system,Net mechanical energy is which no I mean what in an open system,"['Net', 'mechanical', 'energy', 'is', 'which', 'no', 'I', 'mean', 'what', 'in', 'an', 'open', 'system']","['Net', 'mechanical', 'energy', 'is', 'what', 'in', 'an', 'open', 'system']",Theories on imperialism use which Net mechanical energy is what in an open system,"['Net', 'mechanical', 'energy', 'is', 'what', 'in', 'an', 'open', 'system']","['Theories', 'on', 'imperialism', 'use', 'which', 'Net', 'mechanical', 'energy', 'is', 'what', 'in', 'an', 'open', 'system']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Who cant pay Australian pharmacists for doing Home Medicines Reviews,Who cant pay Australian pharmacists for doing nursing home no Home Medicines Reviews,"['Who', 'cant', 'pay', 'Australian', 'pharmacists', 'for', 'doing', 'nursing', 'home', 'no', 'Home', 'Medicines', 'Reviews']","['Who', 'cant', 'pay', 'Australian', 'pharmacists', 'for', 'doing', 'Home', 'Medicines', 'Reviews']",What is the bad Who cant pay Australian pharmacists for doing Home Medicines Reviews,"['Who', 'cant', 'pay', 'Australian', 'pharmacists', 'for', 'doing', 'Home', 'Medicines', 'Reviews']","['What', 'is', 'the', 'bad', 'Who', 'cant', 'pay', 'Australian', 'pharmacists', 'for', 'doing', 'Home', 'Medicines', 'Reviews']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
At what village did a Triton stop to rest on a sandy beach,At what village did a merchant sorry a Triton stop to rest on a sandy beach,"['At', 'what', 'village', 'did', 'a', 'merchant', 'sorry', 'a', 'Triton', 'stop', 'to', 'rest', 'on', 'a', 'sandy', 'beach']","['At', 'what', 'village', 'did', 'a', 'Triton', 'stop', 'to', 'rest', 'on', 'a', 'sandy', 'beach']",How long has At what village did a Triton stop to rest on a sandy beach,"['At', 'what', 'village', 'did', 'a', 'Triton', 'stop', 'to', 'rest', 'on', 'a', 'sandy', 'beach']","['How', 'long', 'has', 'At', 'what', 'village', 'did', 'a', 'Triton', 'stop', 'to', 'rest', 'on', 'a', 'sandy', 'beach']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What stipend do students enrolled in priority courses receive,What aid or better stipend do students enrolled in priority courses receive,"['What', 'aid', 'or', 'better', 'stipend', 'do', 'students', 'enrolled', 'in', 'priority', 'courses', 'receive']","['What', 'stipend', 'do', 'students', 'enrolled', 'in', 'priority', 'courses', 'receive']",In a progressive tax What stipend do students enrolled in priority courses receive,"['What', 'stipend', 'do', 'students', 'enrolled', 'in', 'priority', 'courses', 'receive']","['In', 'a', 'progressive', 'tax', 'What', 'stipend', 'do', 'students', 'enrolled', 'in', 'priority', 'courses', 'receive']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When did Warsaw become the center of the Congress Poland,What year no wait When did Warsaw become the center of the Congress Poland,"['What', 'year', 'no', 'wait', 'When', 'did', 'Warsaw', 'become', 'the', 'center', 'of', 'the', 'Congress', 'Poland']","['When', 'did', 'Warsaw', 'become', 'the', 'center', 'of', 'the', 'Congress', 'Poland']",What is the population of When did Warsaw become the center of the Congress Poland,"['When', 'did', 'Warsaw', 'become', 'the', 'center', 'of', 'the', 'Congress', 'Poland']","['What', 'is', 'the', 'population', 'of', 'When', 'did', 'Warsaw', 'become', 'the', 'center', 'of', 'the', 'Congress', 'Poland']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
During which years was no census taken,In which time of year or actually during which period of time was the not census taken,"['In', 'which', 'time', 'of', 'year', 'or', 'actually', 'during', 'which', 'period', 'of', 'time', 'was', 'the', 'not', 'census', 'taken']","['During', 'which', 'years', 'was', 'no', 'census', 'taken']",What would a parent have to pay to During which years was no census taken,"['During', 'which', 'years', 'was', 'no', 'census', 'taken']","['What', 'would', 'a', 'parent', 'have', 'to', 'pay', 'to', 'During', 'which', 'years', 'was', 'no', 'census', 'taken']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Where is the Longwood Medical area located,Where is the Allston or no rather the Longwood Medical area located,"['Where', 'is', 'the', 'Allston', 'or', 'no', 'rather', 'the', 'Longwood', 'Medical', 'area', 'located']","['Where', 'is', 'the', 'Longwood', 'Medical', 'area', 'located']",Who took Where is the Longwood Medical area located,"['Where', 'is', 'the', 'Longwood', 'Medical', 'area', 'located']","['Who', 'took', 'Where', 'is', 'the', 'Longwood', 'Medical', 'area', 'located']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
During withdrawal from Fort William Henry what did some Indian enemies of French do,When was the withdrawal from Fort William Henry as in what did some Indian enemies of French do during this time,"['When', 'was', 'the', 'withdrawal', 'from', 'Fort', 'William', 'Henry', 'as', 'in', 'what', 'did', 'some', 'Indian', 'enemies', 'of', 'French', 'do', 'during', 'this', 'time']","['During', 'withdrawal', 'from', 'Fort', 'William', 'Henry', 'what', 'did', 'some', 'Indian', 'enemies', 'of', 'French', 'do']",What had the During withdrawal from Fort William Henry what did some Indian enemies of French do,"['During', 'withdrawal', 'from', 'Fort', 'William', 'Henry', 'what', 'did', 'some', 'Indian', 'enemies', 'of', 'French', 'do']","['What', 'had', 'the', 'During', 'withdrawal', 'from', 'Fort', 'William', 'Henry', 'what', 'did', 'some', 'Indian', 'enemies', 'of', 'French', 'do']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Who was Masovia II of Boleslaw,Where was or no rather who was Masovia II of Boleslaw,"['Where', 'was', 'or', 'no', 'rather', 'who', 'was', 'Masovia', 'II', 'of', 'Boleslaw']","['Who', 'was', 'Masovia', 'II', 'of', 'Boleslaw']",In what year did Who was Masovia II of Boleslaw,"['Who', 'was', 'Masovia', 'II', 'of', 'Boleslaw']","['In', 'what', 'year', 'did', 'Who', 'was', 'Masovia', 'II', 'of', 'Boleslaw']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Where was the FIS formed,Where the national elections in 1991 oh where was the FIS formed,"['Where', 'the', 'national', 'elections', 'in', '1991', 'oh', 'where', 'was', 'the', 'FIS', 'formed']","['Where', 'was', 'the', 'FIS', 'formed']",The Mark of Where was the FIS formed,"['Where', 'was', 'the', 'FIS', 'formed']","['The', 'Mark', 'of', 'Where', 'was', 'the', 'FIS', 'formed']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
In what year was the Joe and Rika Mansueto Library constructed,In what year was the university or no make that the Joe and Rika Mansueto Library constructed,"['In', 'what', 'year', 'was', 'the', 'university', 'or', 'no', 'make', 'that', 'the', 'Joe', 'and', 'Rika', 'Mansueto', 'Library', 'constructed']","['In', 'what', 'year', 'was', 'the', 'Joe', 'and', 'Rika', 'Mansueto', 'Library', 'constructed']",What has In what year was the Joe and Rika Mansueto Library constructed,"['In', 'what', 'year', 'was', 'the', 'Joe', 'and', 'Rika', 'Mansueto', 'Library', 'constructed']","['What', 'has', 'In', 'what', 'year', 'was', 'the', 'Joe', 'and', 'Rika', 'Mansueto', 'Library', 'constructed']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is stage 1 in the life of a bill,How is no no um what is the stage 1 in the life of a bill,"['How', 'is', 'no', 'no', 'um', 'what', 'is', 'the', 'stage', '1', 'in', 'the', 'life', 'of', 'a', 'bill']","['What', 'is', 'stage', '1', 'in', 'the', 'life', 'of', 'a', 'bill']",Did Paul Baran has assistance from anyone What is stage 1 in the life of a bill,"['What', 'is', 'stage', '1', 'in', 'the', 'life', 'of', 'a', 'bill']","['Did', 'Paul', 'Baran', 'has', 'assistance', 'from', 'anyone', 'What', 'is', 'stage', '1', 'in', 'the', 'life', 'of', 'a', 'bill']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How many branches does the Zuider Zee brackish lagoon have,What year no how many branches does the Zuider Zee brackish lagoon have,"['What', 'year', 'no', 'how', 'many', 'branches', 'does', 'the', 'Zuider', 'Zee', 'brackish', 'lagoon', 'have']","['How', 'many', 'branches', 'does', 'the', 'Zuider', 'Zee', 'brackish', 'lagoon', 'have']",Low humidity and what How many branches does the Zuider Zee brackish lagoon have,"['How', 'many', 'branches', 'does', 'the', 'Zuider', 'Zee', 'brackish', 'lagoon', 'have']","['Low', 'humidity', 'and', 'what', 'How', 'many', 'branches', 'does', 'the', 'Zuider', 'Zee', 'brackish', 'lagoon', 'have']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How much British military was in North America at end of War,How much French no I mean British military was in North America at end of War,"['How', 'much', 'French', 'no', 'I', 'mean', 'British', 'military', 'was', 'in', 'North', 'America', 'at', 'end', 'of', 'War']","['How', 'much', 'British', 'military', 'was', 'in', 'North', 'America', 'at', 'end', 'of', 'War']",What word is the word How much British military was in North America at end of War,"['How', 'much', 'British', 'military', 'was', 'in', 'North', 'America', 'at', 'end', 'of', 'War']","['What', 'word', 'is', 'the', 'word', 'How', 'much', 'British', 'military', 'was', 'in', 'North', 'America', 'at', 'end', 'of', 'War']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What tribes hated British,What tribes supported the British no no tell me which tribes hated them,"['What', 'tribes', 'supported', 'the', 'British', 'no', 'no', 'tell', 'me', 'which', 'tribes', 'hated', 'them']","['What', 'tribes', 'hated', 'British']",In what year What tribes hated British,"['What', 'tribes', 'hated', 'British']","['In', 'what', 'year', 'What', 'tribes', 'hated', 'British']","['D', 'D', 'D', 'F', 'F', 'F', 'F']",restart,N/A,3
What conjecture holds that there are always a minimum of 1 prime between the squares of consecutive primes greater than 2,What conjecture holds that there are consecutive primes or no always a minimum of 1 prime between the squares of consecutive primes greater than 2,"['What', 'conjecture', 'holds', 'that', 'there', 'are', 'consecutive', 'primes', 'or', 'no', 'always', 'a', 'minimum', 'of', '1', 'prime', 'between', 'the', 'squares', 'of', 'consecutive', 'primes', 'greater', 'than', '2']","['What', 'conjecture', 'holds', 'that', 'there', 'are', 'always', 'a', 'minimum', 'of', '1', 'prime', 'between', 'the', 'squares', 'of', 'consecutive', 'primes', 'greater', 'than', '2']",Why do anarchists want What conjecture holds that there are always a minimum of 1 prime between the squares of consecutive primes greater than 2,"['What', 'conjecture', 'holds', 'that', 'there', 'are', 'always', 'a', 'minimum', 'of', '1', 'prime', 'between', 'the', 'squares', 'of', 'consecutive', 'primes', 'greater', 'than', '2']","['Why', 'do', 'anarchists', 'want', 'What', 'conjecture', 'holds', 'that', 'there', 'are', 'always', 'a', 'minimum', 'of', '1', 'prime', 'between', 'the', 'squares', 'of', 'consecutive', 'primes', 'greater', 'than', '2']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
 colonial rule would not be considered what type of imperialism,Group or  sorry colonial rule would not be considered what type of imperialism,"['Group', 'or', 'sorry', 'colonial', 'rule', 'would', 'not', 'be', 'considered', 'what', 'type', 'of', 'imperialism']","['colonial', 'rule', 'would', 'not', 'be', 'considered', 'what', 'type', 'of', 'imperialism']",Who has colonial rule would not be considered what type of imperialism,"['colonial', 'rule', 'would', 'not', 'be', 'considered', 'what', 'type', 'of', 'imperialism']","['Who', 'has', 'colonial', 'rule', 'would', 'not', 'be', 'considered', 'what', 'type', 'of', 'imperialism']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What were the structures built by Poland typical of,What were the projects rather structures built by Poland typical of,"['What', 'were', 'the', 'projects', 'rather', 'structures', 'built', 'by', 'Poland', 'typical', 'of']","['What', 'were', 'the', 'structures', 'built', 'by', 'Poland', 'typical', 'of']",In what month was What were the structures built by Poland typical of,"['What', 'were', 'the', 'structures', 'built', 'by', 'Poland', 'typical', 'of']","['In', 'what', 'month', 'was', 'What', 'were', 'the', 'structures', 'built', 'by', 'Poland', 'typical', 'of']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Where didnt British settlers live,Where did  I mean didnt British settlers live,"['Where', 'did', 'I', 'mean', 'didnt', 'British', 'settlers', 'live']","['Where', 'didnt', 'British', 'settlers', 'live']",For most organisms what is Where didnt British settlers live,"['Where', 'didnt', 'British', 'settlers', 'live']","['For', 'most', 'organisms', 'what', 'is', 'Where', 'didnt', 'British', 'settlers', 'live']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What did Marchall Cohen note about crime,What had no sorry What did Marchall Cohen note about crime,"['What', 'had', 'no', 'sorry', 'What', 'did', 'Marchall', 'Cohen', 'note', 'about', 'crime']","['What', 'did', 'Marchall', 'Cohen', 'note', 'about', 'crime']",Which month is What did Marchall Cohen note about crime,"['What', 'did', 'Marchall', 'Cohen', 'note', 'about', 'crime']","['Which', 'month', 'is', 'What', 'did', 'Marchall', 'Cohen', 'note', 'about', 'crime']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Building a 617 m tall,Building a 617 cm no m tall,"['Building', 'a', '617', 'cm', 'no', 'm', 'tall']","['Building', 'a', '617', 'm', 'tall']",Who had Kublai Building a 617 m tall,"['Building', 'a', '617', 'm', 'tall']","['Who', 'had', 'Kublai', 'Building', 'a', '617', 'm', 'tall']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Which group has two layers of cells with a middle layer of mesoglea,Which group has three layers of cells with a middle layer of mesoglea no wait two layers of cells not three,"['Which', 'group', 'has', 'three', 'layers', 'of', 'cells', 'with', 'a', 'middle', 'layer', 'of', 'mesoglea', 'no', 'wait', 'two', 'layers', 'of', 'cells', 'not', 'three']","['Which', 'group', 'has', 'two', 'layers', 'of', 'cells', 'with', 'a', 'middle', 'layer', 'of', 'mesoglea']",How many Which group has two layers of cells with a middle layer of mesoglea,"['Which', 'group', 'has', 'two', 'layers', 'of', 'cells', 'with', 'a', 'middle', 'layer', 'of', 'mesoglea']","['How', 'many', 'Which', 'group', 'has', 'two', 'layers', 'of', 'cells', 'with', 'a', 'middle', 'layer', 'of', 'mesoglea']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is an example of adversarial practices that involve partnering,What do a  growing number of new forms of procurement involve no sorry tell me an example of an adversarial practice that involves partnering,"['What', 'do', 'a', 'growing', 'number', 'of', 'new', 'forms', 'of', 'procurement', 'involve', 'no', 'sorry', 'tell', 'me', 'an', 'example', 'of', 'an', 'adversarial', 'practice', 'that', 'involves', 'partnering']","['What', 'is', 'an', 'example', 'of', 'adversarial', 'practices', 'that', 'involve', 'partnering']",Who does the Presiding Officer submit What is an example of adversarial practices that involve partnering,"['What', 'is', 'an', 'example', 'of', 'adversarial', 'practices', 'that', 'involve', 'partnering']","['Who', 'does', 'the', 'Presiding', 'Officer', 'submit', 'What', 'is', 'an', 'example', 'of', 'adversarial', 'practices', 'that', 'involve', 'partnering']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Where can tourists go when they visit Cambridge,Where can tourists go when they leave for no wait visit Cambridge,"['Where', 'can', 'tourists', 'go', 'when', 'they', 'leave', 'for', 'no', 'wait', 'visit', 'Cambridge']","['Where', 'can', 'tourists', 'go', 'when', 'they', 'visit', 'Cambridge']",What ethnic Where can tourists go when they visit Cambridge,"['Where', 'can', 'tourists', 'go', 'when', 'they', 'visit', 'Cambridge']","['What', 'ethnic', 'Where', 'can', 'tourists', 'go', 'when', 'they', 'visit', 'Cambridge']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What interpretation of Islam is for many of the adherents the gold standard of their religion,Question na,"['Question', 'na']","['What', 'interpretation', 'of', 'Islam', 'is', 'for', 'many', 'of', 'the', 'adherents', 'the', 'gold', 'standard', 'of', 'their', 'religion']",The Ottoman empire What interpretation of Islam is for many of the adherents the gold standard of their religion,"['What', 'interpretation', 'of', 'Islam', 'is', 'for', 'many', 'of', 'the', 'adherents', 'the', 'gold', 'standard', 'of', 'their', 'religion']","['The', 'Ottoman', 'empire', 'What', 'interpretation', 'of', 'Islam', 'is', 'for', 'many', 'of', 'the', 'adherents', 'the', 'gold', 'standard', 'of', 'their', 'religion']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
