original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,label,degree
How many Frenchmen lost Battle of Carillon,How many British lost Battle of Carillon I mean how many Frenchmen,"['How', 'many', 'British', 'lost', 'Battle', 'of', 'Carillon', 'I', 'mean', 'how', 'many', 'Frenchmen']","['How', 'many', 'Frenchmen', 'lost', 'Battle', 'of', 'Carillon']",How many Same no Frenchmen lost Battle of Carillon,"['How', 'many', 'Frenchmen', 'lost', 'Battle', 'of', 'Carillon']","['How', 'many', 'Same', 'no', 'Frenchmen', 'lost', 'Battle', 'of', 'Carillon']","['F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What career doesnt Joseph Stiglitz have,What career does no I mean doesnt Joseph Stiglitz have,"['What', 'career', 'does', 'no', 'I', 'mean', 'doesnt', 'Joseph', 'Stiglitz', 'have']","['What', 'career', 'doesnt', 'Joseph', 'Stiglitz', 'have']",What legateship wait What career doesnt Joseph Stiglitz have,"['What', 'career', 'doesnt', 'Joseph', 'Stiglitz', 'have']","['What', 'legateship', 'wait', 'What', 'career', 'doesnt', 'Joseph', 'Stiglitz', 'have']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
How did Celeron feel about Native languages,How did the French no the Celeron feel about Native languages,"['How', 'did', 'the', 'French', 'no', 'the', 'Celeron', 'feel', 'about', 'Native', 'languages']","['How', 'did', 'Celeron', 'feel', 'about', 'Native', 'languages']",How did Celeron feel about Native dictate I mean about Native languages,"['How', 'did', 'Celeron', 'feel', 'about', 'Native', 'languages']","['How', 'did', 'Celeron', 'feel', 'about', 'Native', 'dictate', 'I', 'mean', 'about', 'Native', 'languages']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
How many species were found in the Burgess Shale,What was rather How many species were found in the Burgess Shale,"['What', 'was', 'rather', 'How', 'many', 'species', 'were', 'found', 'in', 'the', 'Burgess', 'Shale']","['How', 'many', 'species', 'were', 'found', 'in', 'the', 'Burgess', 'Shale']",How many genus I am sorry species were found in the Burgess Shale,"['How', 'many', 'species', 'were', 'found', 'in', 'the', 'Burgess', 'Shale']","['How', 'many', 'genus', 'I', 'am', 'sorry', 'species', 'were', 'found', 'in', 'the', 'Burgess', 'Shale']","['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What is Birabens first name,When did the or actually what is Birabens first name,"['When', 'did', 'the', 'or', 'actually', 'what', 'is', 'Birabens', 'first', 'name']","['What', 'is', 'Birabens', 'first', 'name']",What is Birabens first names sorry Birabens first name,"['What', 'is', 'Birabens', 'first', 'name']","['What', 'is', 'Birabens', 'first', 'names', 'sorry', 'Birabens', 'first', 'name']","['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
Why do do ciliary rosettes need to decrease density in seawater,Why do ciliary rosettes need to increase density in seawater no sorry why do they need to decrease density in seawater,"['Why', 'do', 'ciliary', 'rosettes', 'need', 'to', 'increase', 'density', 'in', 'seawater', 'no', 'sorry', 'why', 'do', 'they', 'need', 'to', 'decrease', 'density', 'in', 'seawater']","['Why', 'do', 'do', 'ciliary', 'rosettes', 'need', 'to', 'decrease', 'density', 'in', 'seawater']",Why do do ciliary rosettes need to decrease density in freshwater wait seawater,"['Why', 'do', 'do', 'ciliary', 'rosettes', 'need', 'to', 'decrease', 'density', 'in', 'seawater']","['Why', 'do', 'do', 'ciliary', 'rosettes', 'need', 'to', 'decrease', 'density', 'in', 'freshwater', 'wait', 'seawater']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F']",noun_with_cue,2,N/A
What was the insignificance of victory at Forth Niagara for British,What was the significance of victory at Fort Niagara for the British no no the insignificance of that victory rather,"['What', 'was', 'the', 'significance', 'of', 'victory', 'at', 'Fort', 'Niagara', 'for', 'the', 'British', 'no', 'no', 'the', 'insignificance', 'of', 'that', 'victory', 'rather']","['What', 'was', 'the', 'insignificance', 'of', 'victory', 'at', 'Forth', 'Niagara', 'for', 'British']",What was the insignificance of outcome no i meant to say victory at Forth Niagara for British,"['What', 'was', 'the', 'insignificance', 'of', 'victory', 'at', 'Forth', 'Niagara', 'for', 'British']","['What', 'was', 'the', 'insignificance', 'of', 'outcome', 'no', 'i', 'meant', 'to', 'say', 'victory', 'at', 'Forth', 'Niagara', 'for', 'British']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
How many academic minors does the university grant in total,How many academic majors or instead tell me how many minors does the university grant in total,"['How', 'many', 'academic', 'majors', 'or', 'instead', 'tell', 'me', 'how', 'many', 'minors', 'does', 'the', 'university', 'grant', 'in', 'total']","['How', 'many', 'academic', 'minors', 'does', 'the', 'university', 'grant', 'in', 'total']",How many academic minors does the school no wait a minute the university grant in total,"['How', 'many', 'academic', 'minors', 'does', 'the', 'university', 'grant', 'in', 'total']","['How', 'many', 'academic', 'minors', 'does', 'the', 'school', 'no', 'wait', 'a', 'minute', 'the', 'university', 'grant', 'in', 'total']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What kind of division of power did Kublais government have,How did or actually tell me what kind of division of power did Kublais government have,"['How', 'did', 'or', 'actually', 'tell', 'me', 'what', 'kind', 'of', 'division', 'of', 'power', 'did', 'Kublais', 'government', 'have']","['What', 'kind', 'of', 'division', 'of', 'power', 'did', 'Kublais', 'government', 'have']",What manner I meant What kind of division of power did Kublais government have,"['What', 'kind', 'of', 'division', 'of', 'power', 'did', 'Kublais', 'government', 'have']","['What', 'manner', 'I', 'meant', 'What', 'kind', 'of', 'division', 'of', 'power', 'did', 'Kublais', 'government', 'have']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Which direction did the disease first move in,What types or instead which direction did the disease first move in,"['What', 'types', 'or', 'instead', 'which', 'direction', 'did', 'the', 'disease', 'first', 'move', 'in']","['Which', 'direction', 'did', 'the', 'disease', 'first', 'move', 'in']",Which direction did the disease first jump no disease first move in,"['Which', 'direction', 'did', 'the', 'disease', 'first', 'move', 'in']","['Which', 'direction', 'did', 'the', 'disease', 'first', 'jump', 'no', 'disease', 'first', 'move', 'in']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
 Why dont Islamists need democratic elections,Why do Islamists need democratic elections no sorry why dont they need democratic elections,"['Why', 'do', 'Islamists', 'need', 'democratic', 'elections', 'no', 'sorry', 'why', 'dont', 'they', 'need', 'democratic', 'elections']","['Why', 'dont', 'Islamists', 'need', 'democratic', 'elections']",Why dont Islamists need democratic election wait a minute need democratic elections,"['Why', 'dont', 'Islamists', 'need', 'democratic', 'elections']","['Why', 'dont', 'Islamists', 'need', 'democratic', 'election', 'wait', 'a', 'minute', 'need', 'democratic', 'elections']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
What are two methods for identifying planepolarized light in the lab,What are two methods for identifying birefringence in the lab oh actually identifying planepolarized light,"['What', 'are', 'two', 'methods', 'for', 'identifying', 'birefringence', 'in', 'the', 'lab', 'oh', 'actually', 'identifying', 'planepolarized', 'light']","['What', 'are', 'two', 'methods', 'for', 'identifying', 'planepolarized', 'light', 'in', 'the', 'lab']",What are two methods for identifying planepolarized light in the farmstead well I actually meant in the lab,"['What', 'are', 'two', 'methods', 'for', 'identifying', 'planepolarized', 'light', 'in', 'the', 'lab']","['What', 'are', 'two', 'methods', 'for', 'identifying', 'planepolarized', 'light', 'in', 'the', 'farmstead', 'well', 'I', 'actually', 'meant', 'in', 'the', 'lab']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
Who provided a philosophical discussion of force,Who provided a philosophical discussion of motion shoot ergh force,"['Who', 'provided', 'a', 'philosophical', 'discussion', 'of', 'motion', 'shoot', 'ergh', 'force']","['Who', 'provided', 'a', 'philosophical', 'discussion', 'of', 'force']",Who provided a philosophical conversation no wait a minute discussion of force,"['Who', 'provided', 'a', 'philosophical', 'discussion', 'of', 'force']","['Who', 'provided', 'a', 'philosophical', 'conversation', 'no', 'wait', 'a', 'minute', 'discussion', 'of', 'force']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
What percentage of the population is Hmong,What population no make the what percentage of the population is Hmong,"['What', 'population', 'no', 'make', 'the', 'what', 'percentage', 'of', 'the', 'population', 'is', 'Hmong']","['What', 'percentage', 'of', 'the', 'population', 'is', 'Hmong']",What percentage of the populace no sorry of the population is Hmong,"['What', 'percentage', 'of', 'the', 'population', 'is', 'Hmong']","['What', 'percentage', 'of', 'the', 'populace', 'no', 'sorry', 'of', 'the', 'population', 'is', 'Hmong']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What was identified as a universal force after the work of Galileo,Who nope what was identified as a universal force after the work of Galileo,"['Who', 'nope', 'what', 'was', 'identified', 'as', 'a', 'universal', 'force', 'after', 'the', 'work', 'of', 'Galileo']","['What', 'was', 'identified', 'as', 'a', 'universal', 'force', 'after', 'the', 'work', 'of', 'Galileo']",What was identified as a universal force after the source well I actually meant the work of Galileo,"['What', 'was', 'identified', 'as', 'a', 'universal', 'force', 'after', 'the', 'work', 'of', 'Galileo']","['What', 'was', 'identified', 'as', 'a', 'universal', 'force', 'after', 'the', 'source', 'well', 'I', 'actually', 'meant', 'the', 'work', 'of', 'Galileo']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What do forces have with regard to additive quantities,What do forces have with regard to magnitude no sorry regarding additive quantities,"['What', 'do', 'forces', 'have', 'with', 'regard', 'to', 'magnitude', 'no', 'sorry', 'regarding', 'additive', 'quantities']","['What', 'do', 'forces', 'have', 'with', 'regard', 'to', 'additive', 'quantities']",What do forces have with respect no wait a minute with regard to additive quantities,"['What', 'do', 'forces', 'have', 'with', 'regard', 'to', 'additive', 'quantities']","['What', 'do', 'forces', 'have', 'with', 'respect', 'no', 'wait', 'a', 'minute', 'with', 'regard', 'to', 'additive', 'quantities']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What artificial method of spreading immunity causes disease ,Which What artificial method of spreading immunity causes disease,"['Which', 'What', 'artificial', 'method', 'of', 'spreading', 'immunity', 'causes', 'disease']","['What', 'artificial', 'method', 'of', 'spreading', 'immunity', 'causes', 'disease']",What artificial method of spreading immunity causes rheumatism well I actually mean immunity causes disease,"['What', 'artificial', 'method', 'of', 'spreading', 'immunity', 'causes', 'disease']","['What', 'artificial', 'method', 'of', 'spreading', 'immunity', 'causes', 'rheumatism', 'well', 'I', 'actually', 'mean', 'immunity', 'causes', 'disease']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
In the layered model of the Earth the mantle has two layers below it What are they ,In the layered model of the Earth the mantle has two layers above it What are they no sorry it has two layers belows it what are they,"['In', 'the', 'layered', 'model', 'of', 'the', 'Earth', 'the', 'mantle', 'has', 'two', 'layers', 'above', 'it', 'What', 'are', 'they', 'no', 'sorry', 'it', 'has', 'two', 'layers', 'belows', 'it', 'what', 'are', 'they']","['In', 'the', 'layered', 'model', 'of', 'the', 'Earth', 'the', 'mantle', 'has', 'two', 'layers', 'below', 'it', 'What', 'are', 'they']",In the layered model of the Earth the mantlepiece well I actually meant the mantle has two layers below it What are they,"['In', 'the', 'layered', 'model', 'of', 'the', 'Earth', 'the', 'mantle', 'has', 'two', 'layers', 'below', 'it', 'What', 'are', 'they']","['In', 'the', 'layered', 'model', 'of', 'the', 'Earth', 'the', 'mantlepiece', 'well', 'I', 'actually', 'meant', 'the', 'mantle', 'has', 'two', 'layers', 'below', 'it', 'What', 'are', 'they']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What additional benefits are there to surrounding community of expansion,What benefits are there to the school no sorry what additional benefits are there to surrounding community of expansion,"['What', 'benefits', 'are', 'there', 'to', 'the', 'school', 'no', 'sorry', 'what', 'additional', 'benefits', 'are', 'there', 'to', 'surrounding', 'community', 'of', 'expansion']","['What', 'additional', 'benefits', 'are', 'there', 'to', 'surrounding', 'community', 'of', 'expansion']",What additional benefits are there to surrounding community of enlargement no wait a minute community of expansion,"['What', 'additional', 'benefits', 'are', 'there', 'to', 'surrounding', 'community', 'of', 'expansion']","['What', 'additional', 'benefits', 'are', 'there', 'to', 'surrounding', 'community', 'of', 'enlargement', 'no', 'wait', 'a', 'minute', 'community', 'of', 'expansion']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
 What types of work did the Han do in Eastern Asia,What types of work did the Khitans no the Han do in Eastern Asia,"['What', 'types', 'of', 'work', 'did', 'the', 'Khitans', 'no', 'the', 'Han', 'do', 'in', 'Eastern', 'Asia']","['What', 'types', 'of', 'work', 'did', 'the', 'Han', 'do', 'in', 'Eastern', 'Asia']",What types of job I am sorry of work did the Han do in Eastern Asia,"['What', 'types', 'of', 'work', 'did', 'the', 'Han', 'do', 'in', 'Eastern', 'Asia']","['What', 'types', 'of', 'job', 'I', 'am', 'sorry', 'of', 'work', 'did', 'the', 'Han', 'do', 'in', 'Eastern', 'Asia']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What principle highlights the significance of primes in number theory,What principle completes no sorry highlights the significance of primes in number theory,"['What', 'principle', 'completes', 'no', 'sorry', 'highlights', 'the', 'significance', 'of', 'primes', 'in', 'number', 'theory']","['What', 'principle', 'highlights', 'the', 'significance', 'of', 'primes', 'in', 'number', 'theory']",What theory no wait a minute principle highlights the significance of primes in number theory,"['What', 'principle', 'highlights', 'the', 'significance', 'of', 'primes', 'in', 'number', 'theory']","['What', 'theory', 'no', 'wait', 'a', 'minute', 'principle', 'highlights', 'the', 'significance', 'of', 'primes', 'in', 'number', 'theory']","['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
European imperialism was never focused on what,European imperialism was never focused on who I mean what,"['European', 'imperialism', 'was', 'never', 'focused', 'on', 'who', 'I', 'mean', 'what']","['European', 'imperialism', 'was', 'never', 'focused', 'on', 'what']",European regionalism well I actually meant imperialism was never focused on what,"['European', 'imperialism', 'was', 'never', 'focused', 'on', 'what']","['European', 'regionalism', 'well', 'I', 'actually', 'meant', 'imperialism', 'was', 'never', 'focused', 'on', 'what']","['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What were blank spaces used for on nineteenthcentury maps,What were blank spaces used for on British no I mean nineteenthcentury maps,"['What', 'were', 'blank', 'spaces', 'used', 'for', 'on', 'British', 'no', 'I', 'mean', 'nineteenthcentury', 'maps']","['What', 'were', 'blank', 'spaces', 'used', 'for', 'on', 'nineteenthcentury', 'maps']",What were blank space actually no spaces used for on nineteenthcentury maps,"['What', 'were', 'blank', 'spaces', 'used', 'for', 'on', 'nineteenthcentury', 'maps']","['What', 'were', 'blank', 'space', 'actually', 'no', 'spaces', 'used', 'for', 'on', 'nineteenthcentury', 'maps']","['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Who thot that the Yuans social class system shouldnt be called social classes,Who thot that the Mongol no no Yuans social class system shouldnt be called social classes,"['Who', 'thot', 'that', 'the', 'Mongol', 'no', 'no', 'Yuans', 'social', 'class', 'system', 'shouldnt', 'be', 'called', 'social', 'classes']","['Who', 'thot', 'that', 'the', 'Yuans', 'social', 'class', 'system', 'shouldnt', 'be', 'called', 'social', 'classes']",Who thot that the Yuans social class ocher wait social class system shouldnt be called social classes,"['Who', 'thot', 'that', 'the', 'Yuans', 'social', 'class', 'system', 'shouldnt', 'be', 'called', 'social', 'classes']","['Who', 'thot', 'that', 'the', 'Yuans', 'social', 'class', 'ocher', 'wait', 'social', 'class', 'system', 'shouldnt', 'be', 'called', 'social', 'classes']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
In what areas are sediment particles typically found,In what areas are waves no um are sediment particles typically found,"['In', 'what', 'areas', 'are', 'waves', 'no', 'um', 'are', 'sediment', 'particles', 'typically', 'found']","['In', 'what', 'areas', 'are', 'sediment', 'particles', 'typically', 'found']",In what area no wait a minute areas are sediment particles typically found,"['In', 'what', 'areas', 'are', 'sediment', 'particles', 'typically', 'found']","['In', 'what', 'area', 'no', 'wait', 'a', 'minute', 'areas', 'are', 'sediment', 'particles', 'typically', 'found']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What does increasing inequality harm,What is the effect wait What does increasing inequality harm,"['What', 'is', 'the', 'effect', 'wait', 'What', 'does', 'increasing', 'inequality', 'harm']","['What', 'does', 'increasing', 'inequality', 'harm']",What does increasing change no wait a minute inequality harm,"['What', 'does', 'increasing', 'inequality', 'harm']","['What', 'does', 'increasing', 'change', 'no', 'wait', 'a', 'minute', 'inequality', 'harm']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
What is violating a law which is not the goal of the protest called,When the law what is violating a law which is not the goal of the protest called,"['When', 'the', 'law', 'what', 'is', 'violating', 'a', 'law', 'which', 'is', 'not', 'the', 'goal', 'of', 'the', 'protest', 'called']","['What', 'is', 'violating', 'a', 'law', 'which', 'is', 'not', 'the', 'goal', 'of', 'the', 'protest', 'called']",What is violating a one wait a law which is not the goal of the protest called,"['What', 'is', 'violating', 'a', 'law', 'which', 'is', 'not', 'the', 'goal', 'of', 'the', 'protest', 'called']","['What', 'is', 'violating', 'a', 'one', 'wait', 'a', 'law', 'which', 'is', 'not', 'the', 'goal', 'of', 'the', 'protest', 'called']","['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Does the residential architecture of the Tower District compare or contrast with other part of Fresno,Does the residential architecture of the Tower District compare or contrast with other part of Storybook no nix that Fresno,"['Does', 'the', 'residential', 'architecture', 'of', 'the', 'Tower', 'District', 'compare', 'or', 'contrast', 'with', 'other', 'part', 'of', 'Storybook', 'no', 'nix', 'that', 'Fresno']","['Does', 'the', 'residential', 'architecture', 'of', 'the', 'Tower', 'District', 'compare', 'or', 'contrast', 'with', 'other', 'part', 'of', 'Fresno']",Does the residential architecture of the Tower District compare or reciprocal sorry compare or contrast with other part of Fresno,"['Does', 'the', 'residential', 'architecture', 'of', 'the', 'Tower', 'District', 'compare', 'or', 'contrast', 'with', 'other', 'part', 'of', 'Fresno']","['Does', 'the', 'residential', 'architecture', 'of', 'the', 'Tower', 'District', 'compare', 'or', 'reciprocal', 'sorry', 'compare', 'or', 'contrast', 'with', 'other', 'part', 'of', 'Fresno']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What GTE director wanted to make ARPANET technology public,What FCC or I think its called GTE director wanted to make ARPANET technology public,"['What', 'FCC', 'or', 'I', 'think', 'its', 'called', 'GTE', 'director', 'wanted', 'to', 'make', 'ARPANET', 'technology', 'public']","['What', 'GTE', 'director', 'wanted', 'to', 'make', 'ARPANET', 'technology', 'public']",What GTE director wanted to make ARPANET high tech no make ARPANET technology public,"['What', 'GTE', 'director', 'wanted', 'to', 'make', 'ARPANET', 'technology', 'public']","['What', 'GTE', 'director', 'wanted', 'to', 'make', 'ARPANET', 'high', 'tech', 'no', 'make', 'ARPANET', 'technology', 'public']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
The concept of inertia can explain the tendency of people to continue in what,What do no actually instead the concept of inertia can explain the tendency of people to continue in what,"['What', 'do', 'no', 'actually', 'instead', 'the', 'concept', 'of', 'inertia', 'can', 'explain', 'the', 'tendency', 'of', 'people', 'to', 'continue', 'in', 'what']","['The', 'concept', 'of', 'inertia', 'can', 'explain', 'the', 'tendency', 'of', 'people', 'to', 'continue', 'in', 'what']",The concept of inertia can explain the inclination no explain the tendency of people to continue in what,"['The', 'concept', 'of', 'inertia', 'can', 'explain', 'the', 'tendency', 'of', 'people', 'to', 'continue', 'in', 'what']","['The', 'concept', 'of', 'inertia', 'can', 'explain', 'the', 'inclination', 'no', 'explain', 'the', 'tendency', 'of', 'people', 'to', 'continue', 'in', 'what']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Where might the doctors selfinterest be equivalent with the patients selfinterest,How else er where might the doctors selfinterest be equivalent with the patients selfinterest,"['How', 'else', 'er', 'where', 'might', 'the', 'doctors', 'selfinterest', 'be', 'equivalent', 'with', 'the', 'patients', 'selfinterest']","['Where', 'might', 'the', 'doctors', 'selfinterest', 'be', 'equivalent', 'with', 'the', 'patients', 'selfinterest']",Where might the Doctor no wait might the doctors selfinterest be equivalent with the patients selfinterest,"['Where', 'might', 'the', 'doctors', 'selfinterest', 'be', 'equivalent', 'with', 'the', 'patients', 'selfinterest']","['Where', 'might', 'the', 'Doctor', 'no', 'wait', 'might', 'the', 'doctors', 'selfinterest', 'be', 'equivalent', 'with', 'the', 'patients', 'selfinterest']","['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
How many academic research divisions does the University of Chicago have,How many professional  sorry How many academic research divisions does the University of Chicago have,"['How', 'many', 'professional', 'sorry', 'How', 'many', 'academic', 'research', 'divisions', 'does', 'the', 'University', 'of', 'Chicago', 'have']","['How', 'many', 'academic', 'research', 'divisions', 'does', 'the', 'University', 'of', 'Chicago', 'have']",How many academic guesstimate wait academic research divisions does the University of Chicago have,"['How', 'many', 'academic', 'research', 'divisions', 'does', 'the', 'University', 'of', 'Chicago', 'have']","['How', 'many', 'academic', 'guesstimate', 'wait', 'academic', 'research', 'divisions', 'does', 'the', 'University', 'of', 'Chicago', 'have']","['F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
In the layered model of the Earth the outost layer is what ,In the layered model of the core or  Earth the outost layer is what,"['In', 'the', 'layered', 'model', 'of', 'the', 'core', 'or', 'Earth', 'the', 'outost', 'layer', 'is', 'what']","['In', 'the', 'layered', 'model', 'of', 'the', 'Earth', 'the', 'outost', 'layer', 'is', 'what']",In the layered variant no wait layered model of the Earth the outost layer is what,"['In', 'the', 'layered', 'model', 'of', 'the', 'Earth', 'the', 'outost', 'layer', 'is', 'what']","['In', 'the', 'layered', 'variant', 'no', 'wait', 'layered', 'model', 'of', 'the', 'Earth', 'the', 'outost', 'layer', 'is', 'what']","['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
in 1932 what was the Rhine measurement changed to,what was the Rhine measurement changed to in 1932,"['what', 'was', 'the', 'Rhine', 'measurement', 'changed', 'to', 'in', '1932']","['in', '1932', 'what', 'was', 'the', 'Rhine', 'measurement', 'changed', 'to']",in 1932 what was the Rhine surgery no wait measurement changed to,"['in', '1932', 'what', 'was', 'the', 'Rhine', 'measurement', 'changed', 'to']","['in', '1932', 'what', 'was', 'the', 'Rhine', 'surgery', 'no', 'wait', 'measurement', 'changed', 'to']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
How many days does the mayor have to override the Councils veto,How many days does the Council have to override the mayors veto no let me rephrase how many days does mayor have to override the Councils veto rather,"['How', 'many', 'days', 'does', 'the', 'Council', 'have', 'to', 'override', 'the', 'mayors', 'veto', 'no', 'let', 'me', 'rephrase', 'how', 'many', 'days', 'does', 'mayor', 'have', 'to', 'override', 'the', 'Councils', 'veto', 'rather']","['How', 'many', 'days', 'does', 'the', 'mayor', 'have', 'to', 'override', 'the', 'Councils', 'veto']",How many days does the mayoress I meant does the mayor have to override the Councils veto,"['How', 'many', 'days', 'does', 'the', 'mayor', 'have', 'to', 'override', 'the', 'Councils', 'veto']","['How', 'many', 'days', 'does', 'the', 'mayoress', 'I', 'meant', 'does', 'the', 'mayor', 'have', 'to', 'override', 'the', 'Councils', 'veto']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Because of integration what are growing beyond services of architects,Because of integration where no make that what are growing beyond services of architects,"['Because', 'of', 'integration', 'where', 'no', 'make', 'that', 'what', 'are', 'growing', 'beyond', 'services', 'of', 'architects']","['Because', 'of', 'integration', 'what', 'are', 'growing', 'beyond', 'services', 'of', 'architects']",Because of mix wait integration what are growing beyond services of architects,"['Because', 'of', 'integration', 'what', 'are', 'growing', 'beyond', 'services', 'of', 'architects']","['Because', 'of', 'mix', 'wait', 'integration', 'what', 'are', 'growing', 'beyond', 'services', 'of', 'architects']","['F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Who concluded that motion in a constant velocity was completely equivalent to motion,Which physics er who concluded that motion in a constant velocity was completely equivalent to motion,"['Which', 'physics', 'er', 'who', 'concluded', 'that', 'motion', 'in', 'a', 'constant', 'velocity', 'was', 'completely', 'equivalent', 'to', 'motion']","['Who', 'concluded', 'that', 'motion', 'in', 'a', 'constant', 'velocity', 'was', 'completely', 'equivalent', 'to', 'motion']",Who concluded that movement well I actually meant that motion in a constant velocity was completely equivalent to motion,"['Who', 'concluded', 'that', 'motion', 'in', 'a', 'constant', 'velocity', 'was', 'completely', 'equivalent', 'to', 'motion']","['Who', 'concluded', 'that', 'movement', 'well', 'I', 'actually', 'meant', 'that', 'motion', 'in', 'a', 'constant', 'velocity', 'was', 'completely', 'equivalent', 'to', 'motion']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
